PRODUCT,SALESYEAR,LIFECYCLE,STATE,RELEASE_YEAR,DISEASE_RESISTANCE,INSECT_RESISTANCE,PROTECTION,DROUGHT_TOLERANCE,BRITTLE_STALK,PLANT_HEIGHT,RELATIVE_MATURITY,UNITS
P133,2023,EXPANSION,Texas,2019,0,1,1,2,3,2,4,0
P136,2023,PHASEOUT,Texas,2017,0,0,1,5,4,2,4,0.2
P138,2023,PHASEOUT,Texas,2017,0,1,1,5,4,2,4,1.8
P147,2023,INTRODUCTION,Texas,2019,0,0,1,2,4,4,4,0.5
P150,2023,PHASEOUT,Texas,2012,0,0,0,1,2,5,4,5.2
P159,2023,EXPANSION,Texas,2017,0,0,1,2,5,2,4,0.3
P160,2023,PHASEOUT,Texas,2018,0,1,1,2,5,2,4,1.9
P169,2023,EXPANSION,Texas,2019,0,0,1,4,4,4,4,0.1
P177,2023,INTRODUCTION,Texas,2020,0,0,1,2,4,3,4,0.4
P182,2023,PHASEOUT,Texas,2017,0,1,1,3,3,3,4,3
P196,2023,PHASEOUT,Texas,2018,0,1,1,2,5,3,4,4.4
P199,2023,INTRODUCTION,Texas,2020,0,0,0,3,4,3,4,4.9
P201,2023,EXPANSION,Texas,2019,0,0,1,3,4,3,4,1.6
P205,2023,INTRODUCTION,Texas,2020,0,1,1,2,2,2,4,7.4
P208,2023,ESTABLISHED,Texas,2019,0,0,1,4,4,4,4,1.2
P210,2023,INTRODUCTION,Texas,2020,0,1,1,1,4,4,4,2
P219,2023,EXPANSION,Texas,2016,0,0,1,4,3,5,5,1.1
P223,2023,ESTABLISHED,Texas,2017,0,1,1,3,3,4,5,62.8
P226,2023,PHASEOUT,Texas,2018,0,0,0,3,4,2,5,1.3
P231,2023,ESTABLISHED,Texas,2019,0,1,1,3,5,3,5,1.2
P234,2023,PHASEOUT,Texas,2014,0,1,1,2,5,5,5,22.9
P252,2023,PHASEOUT,Texas,2018,0,0,1,3,3,3,1,0
P2,2024,EXPANSION,Texas,2012,0,0,1,3,5,2,3,0.9
P27,2024,ESTABLISHED,Texas,2019,0,0,1,3,4,2,3,0.1
P29,2024,ESTABLISHED,Texas,2020,0,0,1,4,4,2,3,0.5
P52,2024,ESTABLISHED,Texas,2018,0,0,1,5,4,1,4,7.4
P72,2024,EXPANSION,Texas,2020,0,0,1,3,4,4,4,0.5
P94,2024,ESTABLISHED,Texas,2020,0,1,1,5,3,3,4,2.9
P114,2024,ESTABLISHED,Texas,2021,0,1,1,5,3,3,4,4.8
P136,2024,PHASEOUT,Texas,2017,0,0,1,5,4,2,4,1.1
P150,2024,EXPANSION,Texas,2012,0,0,0,1,2,5,4,8.3
P160,2024,ESTABLISHED,Texas,2018,0,1,1,2,5,2,4,1.2
P168,2024,ESTABLISHED,Texas,2019,0,1,1,4,4,4,4,18.5
P182,2024,ESTABLISHED,Texas,2017,0,1,1,3,3,3,4,3
P185,2024,INTRODUCTION,Texas,2022,0,1,1,2,3,2,4,0.3
P189,2024,EXPANSION,Texas,2021,0,0,1,1,3,3,4,1.1
P190,2024,EXPANSION,Texas,2021,0,1,1,1,3,3,4,7.8
P196,2024,PHASEOUT,Texas,2018,0,1,1,2,5,3,4,1
P199,2024,ESTABLISHED,Texas,2020,0,0,0,3,4,3,4,0.9
P201,2024,EXPANSION,Texas,2019,0,0,1,3,4,3,4,0.9
P203,2024,EXPANSION,Texas,2021,0,1,1,2,3,3,4,1.8
P205,2024,EXPANSION,Texas,2020,0,1,1,2,2,2,4,2.5
P208,2024,PHASEOUT,Texas,2019,0,0,1,4,4,4,4,0.1
P210,2024,ESTABLISHED,Texas,2020,0,1,1,1,4,4,4,1
P214,2024,EXPANSION,Texas,2021,0,1,1,3,3,4,4,13.7
P216,2024,INTRODUCTION,Texas,2022,0,0,1,3,3,4,4,0.9
P219,2024,EXPANSION,Texas,2016,0,0,1,4,3,5,5,1
P223,2024,ESTABLISHED,Texas,2017,0,1,1,3,3,4,5,39.5
P226,2024,EXPANSION,Texas,2018,0,0,0,3,4,2,5,0
P231,2024,PHASEOUT,Texas,2019,0,1,1,3,5,3,5,1.3
P234,2024,EXPANSION,Texas,2014,0,1,1,2,5,5,5,17
P235,2024,EXPANSION,Texas,2017,0,1,1,,,,5,0.1
P317,2024,PHASEOUT,Texas,2018,0,0,1,3,4,2,3,3.7
P29,2025,EXPANSION,Texas,2020,0,0,1,4,4,2,3,0.2
P42,2025,INTRODUCTION,Texas,2023,0,0,1,5,4,2,3,1.4
P52,2025,ESTABLISHED,Texas,2018,0,0,1,5,4,1,4,3
P72,2025,ESTABLISHED,Texas,2020,0,0,1,3,4,4,4,0.3
P93,2025,EXPANSION,Texas,2020,0,0,1,5,3,3,4,2.3
P113,2025,PHASEOUT,Texas,2021,0,0,1,5,3,3,4,0
P114,2025,ESTABLISHED,Texas,2021,0,1,1,5,3,3,4,2.7
P136,2025,PHASEOUT,Texas,2017,0,0,1,5,4,2,4,1.1
P138,2025,EXPANSION,Texas,2017,0,1,1,5,4,2,4,1.2
P150,2025,ESTABLISHED,Texas,2012,0,0,0,1,2,5,4,7.1
P159,2025,ESTABLISHED,Texas,2017,0,0,1,2,5,2,4,0.1
P161,2025,EXPANSION,Texas,2016,0,1,1,2,5,2,4,0.3
P168,2025,ESTABLISHED,Texas,2019,0,1,1,4,4,4,4,10.2
P172,2025,INTRODUCTION,Texas,2023,1,1,1,5,5,2,4,13.7
P181,2025,PHASEOUT,Texas,2017,0,0,1,3,3,3,4,0.2
P185,2025,EXPANSION,Texas,2022,0,1,1,2,3,2,4,3.9
P190,2025,EXPANSION,Texas,2021,0,1,1,1,3,3,4,19.6
P191,2025,INTRODUCTION,Texas,2023,0,0,0,2,3,4,4,0.1
P200,2025,EXPANSION,Texas,2023,1,0,0,3,4,3,4,2.5
P201,2025,PHASEOUT,Texas,2019,0,0,1,3,4,3,4,0.3
P203,2025,EXPANSION,Texas,2021,0,1,1,2,3,3,4,17.9
P205,2025,EXPANSION,Texas,2020,0,1,1,2,2,2,4,0.4
P210,2025,EXPANSION,Texas,2020,0,1,1,1,4,4,4,0.6
P214,2025,EXPANSION,Texas,2021,0,1,1,3,3,4,4,9.7
P217,2025,EXPANSION,Texas,2023,1,0,1,3,3,4,4,9.7
P219,2025,ESTABLISHED,Texas,2016,0,0,1,4,3,5,5,0.2
P223,2025,ESTABLISHED,Texas,2017,0,1,1,3,3,4,5,25.3
P225,2025,EXPANSION,Texas,2023,1,0,0,3,4,2,5,0.6
P231,2025,EXPANSION,Texas,2019,0,1,1,3,5,3,5,0.5
P234,2025,ESTABLISHED,Texas,2014,0,1,1,2,5,5,5,17.7
P235,2025,EXPANSION,Texas,2017,0,1,1,,,,5,0.2
P11,2021,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,11.3
P12,2021,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,11.2
P14,2021,PHASEOUT,Iowa,2013,0,0,1,5,3,1,3,0.3
P15,2021,PHASEOUT,Iowa,2015,0,0,1,5,3,1,3,2
P18,2021,INTRODUCTION,Iowa,2019,0,0,1,3,4,1,3,10
P19,2021,INTRODUCTION,Iowa,2019,0,0,1,3,4,1,3,7.1
P22,2021,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,7.6
P23,2021,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,2.5
P25,2021,ESTABLISHED,Iowa,2014,0,0,1,5,3,1,3,0.2
P26,2021,EXPANSION,Iowa,2014,0,0,1,5,3,1,3,13.1
P32,2021,EXPANSION,Iowa,2018,0,0,1,3,4,1,3,6.2
P33,2021,PHASEOUT,Iowa,2018,0,0,1,3,4,1,3,3
P35,2021,INTRODUCTION,Iowa,2019,0,0,1,,,,3,0
P47,2021,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,2.8
P49,2021,PHASEOUT,Iowa,2014,0,0,1,5,4,1,3,11.9
P50,2021,ESTABLISHED,Iowa,2014,0,0,1,5,4,1,3,4.1
P51,2021,INTRODUCTION,Iowa,2019,0,0,1,1,3,3,3,4.5
P53,2021,EXPANSION,Iowa,2017,0,0,1,5,4,1,4,31
P56,2021,PHASEOUT,Iowa,2017,0,0,1,4,4,1,4,29
P57,2021,PHASEOUT,Iowa,2017,0,0,1,4,4,1,4,0.1
P61,2021,PHASEOUT,Iowa,2018,0,0,1,4,2,2,4,5.1
P73,2021,PHASEOUT,Iowa,2014,0,0,1,,,,4,0.2
P78,2021,PHASEOUT,Iowa,2016,0,0,1,2,3,3,4,0.8
P79,2021,PHASEOUT,Iowa,2016,0,0,1,2,3,3,4,0.8
P84,2021,INTRODUCTION,Iowa,2019,0,0,1,2,3,4,4,0
P85,2021,INTRODUCTION,Iowa,2019,0,0,1,2,5,4,4,3.7
P86,2021,PHASEOUT,Iowa,2017,0,0,1,3,4,2,4,0.3
P89,2021,ESTABLISHED,Iowa,2018,0,0,1,2,5,3,4,15
P90,2021,ESTABLISHED,Iowa,2017,0,0,1,3,5,4,4,2.3
P91,2021,PHASEOUT,Iowa,2011,0,1,1,2,5,3,4,0.4
P99,2021,PHASEOUT,Iowa,2017,0,0,1,3,4,2,4,0
P104,2021,EXPANSION,Iowa,2018,0,0,1,2,4,2,4,46.4
P107,2021,EXPANSION,Iowa,2017,0,0,1,3,3,2,4,29.3
P108,2021,INTRODUCTION,Iowa,2019,0,0,1,3,3,2,4,0.1
P110,2021,EXPANSION,Iowa,2018,0,0,1,3,4,3,4,18.6
P116,2021,PHASEOUT,Iowa,2016,0,0,1,3,4,4,4,1
P118,2021,PHASEOUT,Iowa,2012,0,0,1,5,5,2,4,2.4
P124,2021,INTRODUCTION,Iowa,2019,0,0,1,3,4,1,4,16.8
P125,2021,INTRODUCTION,Iowa,2019,0,0,1,3,4,1,4,20.4
P127,2021,PHASEOUT,Iowa,2013,0,0,1,2,3,3,4,27
P128,2021,PHASEOUT,Iowa,2013,0,0,1,2,3,3,4,0
P132,2021,INTRODUCTION,Iowa,2019,0,0,1,2,3,2,4,9.9
P136,2021,ESTABLISHED,Iowa,2017,0,0,1,5,4,2,4,33.5
P152,2021,ESTABLISHED,Iowa,2016,0,0,1,2,3,4,4,13.8
P153,2021,EXPANSION,Iowa,2016,0,0,1,2,3,4,4,2.9
P155,2021,INTRODUCTION,Iowa,2019,0,0,1,2,4,3,4,2.1
P156,2021,ESTABLISHED,Iowa,2016,0,0,1,2,5,2,4,47.9
P158,2021,PHASEOUT,Iowa,2016,0,0,1,2,5,2,4,0.1
P159,2021,ESTABLISHED,Iowa,2017,0,0,1,2,5,2,4,28.6
P167,2021,EXPANSION,Iowa,2018,0,0,1,4,4,4,4,2.9
P193,2021,PHASEOUT,Iowa,2017,0,0,1,2,5,3,4,6.8
P201,2021,INTRODUCTION,Iowa,2019,0,0,1,3,4,3,4,2.9
P222,2021,PHASEOUT,Iowa,2018,0,0,1,3,3,4,5,0.3
P223,2021,EXPANSION,Iowa,2017,0,1,1,3,3,4,5,0.3
P224,2021,PHASEOUT,Iowa,2016,0,0,1,3,4,2,5,0.1
P232,2021,PHASEOUT,Iowa,2012,0,0,1,2,5,5,5,0.1
P247,2021,EXPANSION,Iowa,2018,0,0,1,3,4,1,1,0
P252,2021,EXPANSION,Iowa,2018,0,0,1,3,3,3,1,0
P259,2021,PHASEOUT,Iowa,2018,0,0,1,2,4,1,2,0.1
P269,2021,EXPANSION,Iowa,2018,0,0,1,3,3,4,2,0
P275,2021,EXPANSION,Iowa,2018,0,0,1,2,5,1,2,0
P297,2021,ESTABLISHED,Iowa,2017,0,0,1,3,5,3,3,0.2
P306,2021,EXPANSION,Iowa,2017,0,0,1,3,2,2,3,0
P317,2021,EXPANSION,Iowa,2018,0,0,1,3,4,2,3,1.1
P318,2021,ESTABLISHED,Iowa,2013,0,0,1,2,4,3,3,0.1
P328,2021,PHASEOUT,Iowa,2016,0,0,1,3,5,2,3,0.1
P330,2021,EXPANSION,Iowa,2018,0,0,1,3,4,1,3,0.1
P337,2021,EXPANSION,Iowa,2016,0,0,1,5,3,1,3,0.5
P10,2022,INTRODUCTION,Iowa,2020,0,0,0,4,4,2,3,0.8
P11,2022,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,12.1
P12,2022,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,10.2
P14,2022,PHASEOUT,Iowa,2013,0,0,1,5,3,1,3,0.1
P18,2022,EXPANSION,Iowa,2019,0,0,1,3,4,1,3,8.8
P19,2022,EXPANSION,Iowa,2019,0,0,1,3,4,1,3,8.8
P22,2022,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,1.6
P23,2022,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,0.3
P26,2022,ESTABLISHED,Iowa,2014,0,0,1,5,3,1,3,10.1
P29,2022,INTRODUCTION,Iowa,2020,0,0,1,4,4,2,3,9.4
P30,2022,INTRODUCTION,Iowa,2020,0,0,1,4,4,2,3,8.1
P32,2022,ESTABLISHED,Iowa,2018,0,0,1,3,4,1,3,8.5
P33,2022,PHASEOUT,Iowa,2018,0,0,1,3,4,1,3,1.2
P35,2022,PHASEOUT,Iowa,2019,0,0,1,,,,3,0.3
P47,2022,EXPANSION,Iowa,2016,0,0,1,5,2,1,3,1.7
P49,2022,PHASEOUT,Iowa,2014,0,0,1,5,4,1,3,7.2
P50,2022,PHASEOUT,Iowa,2014,0,0,1,5,4,1,3,2.9
P51,2022,EXPANSION,Iowa,2019,0,0,1,1,3,3,3,5.6
P53,2022,ESTABLISHED,Iowa,2017,0,0,1,5,4,1,4,29.2
P56,2022,PHASEOUT,Iowa,2017,0,0,1,4,4,1,4,15.1
P61,2022,ESTABLISHED,Iowa,2018,0,0,1,4,2,2,4,3.1
P78,2022,PHASEOUT,Iowa,2016,0,0,1,2,3,3,4,0.1
P79,2022,PHASEOUT,Iowa,2016,0,0,1,2,3,3,4,0.1
P81,2022,INTRODUCTION,Iowa,2020,0,0,0,3,4,3,4,0.5
P82,2022,INTRODUCTION,Iowa,2020,0,0,1,3,4,3,4,17.7
P85,2022,EXPANSION,Iowa,2019,0,0,1,2,5,4,4,0.8
P86,2022,PHASEOUT,Iowa,2017,0,0,1,3,4,2,4,0
P87,2022,INTRODUCTION,Iowa,2020,0,0,1,2,4,3,4,11.5
P89,2022,PHASEOUT,Iowa,2018,0,0,1,2,5,3,4,7
P90,2022,EXPANSION,Iowa,2017,0,0,1,3,5,4,4,1.2
P93,2022,INTRODUCTION,Iowa,2020,0,0,1,5,3,3,4,0.8
P104,2022,ESTABLISHED,Iowa,2018,0,0,1,2,4,2,4,42.6
P107,2022,ESTABLISHED,Iowa,2017,0,0,1,3,3,2,4,16.4
P110,2022,PHASEOUT,Iowa,2018,0,0,1,3,4,3,4,7.1
P116,2022,PHASEOUT,Iowa,2016,0,0,1,3,4,4,4,0.5
P118,2022,PHASEOUT,Iowa,2012,0,0,1,5,5,2,4,0.8
P123,2022,INTRODUCTION,Iowa,2020,0,0,0,3,4,1,4,1.5
P124,2022,EXPANSION,Iowa,2019,0,0,1,3,4,1,4,79.1
P125,2022,EXPANSION,Iowa,2019,0,0,1,3,4,1,4,52.8
P127,2022,PHASEOUT,Iowa,2013,0,0,1,2,3,3,4,11.4
P129,2022,PHASEOUT,Iowa,2014,0,0,0,2,3,3,4,0
P132,2022,EXPANSION,Iowa,2019,0,0,1,2,3,2,4,7.6
P134,2022,INTRODUCTION,Iowa,2020,0,0,1,2,2,3,4,7.6
P136,2022,ESTABLISHED,Iowa,2017,0,0,1,5,4,2,4,23.2
P147,2022,INTRODUCTION,Iowa,2019,0,0,1,2,4,4,4,0.1
P152,2022,PHASEOUT,Iowa,2016,0,0,1,2,3,4,4,4.9
P153,2022,PHASEOUT,Iowa,2016,0,0,1,2,3,4,4,2.5
P155,2022,EXPANSION,Iowa,2019,0,0,1,2,4,3,4,2
P156,2022,PHASEOUT,Iowa,2016,0,0,1,2,5,2,4,38
P159,2022,PHASEOUT,Iowa,2017,0,0,1,2,5,2,4,24.3
P167,2022,EXPANSION,Iowa,2018,0,0,1,4,4,4,4,2.6
P193,2022,PHASEOUT,Iowa,2017,0,0,1,2,5,3,4,2.8
P195,2022,INTRODUCTION,Iowa,2020,0,0,1,2,5,3,4,0.8
P201,2022,EXPANSION,Iowa,2019,0,0,1,3,4,3,4,2.5
P210,2022,INTRODUCTION,Iowa,2020,0,1,1,1,4,4,4,0.1
P221,2022,ESTABLISHED,Iowa,2017,0,0,1,3,3,4,5,0
P223,2022,ESTABLISHED,Iowa,2017,0,1,1,3,3,4,5,0.1
P224,2022,PHASEOUT,Iowa,2016,0,0,1,3,4,2,5,0.2
P230,2022,EXPANSION,Iowa,2019,0,0,1,3,5,3,5,0
P247,2022,PHASEOUT,Iowa,2018,0,0,1,3,4,1,1,0
P252,2022,PHASEOUT,Iowa,2018,0,0,1,3,3,3,1,0
P257,2022,PHASEOUT,Iowa,2016,0,0,1,2,2,1,2,0.1
P265,2022,EXPANSION,Iowa,2019,0,0,1,3,4,1,2,0
P275,2022,PHASEOUT,Iowa,2018,0,0,1,2,5,1,2,0
P295,2022,INTRODUCTION,Iowa,2020,0,0,1,3,3,2,3,0.5
P296,2022,INTRODUCTION,Iowa,2020,0,0,1,3,3,2,3,0
P297,2022,PHASEOUT,Iowa,2017,0,0,1,3,5,3,3,0.2
P300,2022,INTRODUCTION,Iowa,2020,0,0,1,4,3,2,3,0.1
P306,2022,PHASEOUT,Iowa,2017,0,0,1,3,2,2,3,0
P317,2022,ESTABLISHED,Iowa,2018,0,0,1,3,4,2,3,0.2
P320,2022,INTRODUCTION,Iowa,2020,0,0,1,2,3,3,3,0.9
P328,2022,PHASEOUT,Iowa,2016,0,0,1,3,5,2,3,0.1
P332,2022,INTRODUCTION,Iowa,2020,0,0,0,3,4,1,3,0
P337,2022,PHASEOUT,Iowa,2016,0,0,1,5,3,1,3,0
P10,2023,INTRODUCTION,Iowa,2020,0,0,0,4,4,2,3,0.6
P11,2023,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,11.2
P12,2023,EXPANSION,Iowa,2018,0,0,1,4,4,2,3,9.4
P18,2023,EXPANSION,Iowa,2019,0,0,1,3,4,1,3,2.9
P19,2023,EXPANSION,Iowa,2019,0,0,1,3,4,1,3,2.9
P22,2023,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,0.1
P23,2023,PHASEOUT,Iowa,2016,0,0,1,5,2,1,3,0.1
P26,2023,ESTABLISHED,Iowa,2014,0,0,1,5,3,1,3,10
P29,2023,INTRODUCTION,Iowa,2020,0,0,1,4,4,2,3,12.4
P30,2023,INTRODUCTION,Iowa,2020,0,0,1,4,4,2,3,8.3
P32,2023,ESTABLISHED,Iowa,2018,0,0,1,3,4,1,3,4.9
P33,2023,PHASEOUT,Iowa,2018,0,0,1,3,4,1,3,0.7
P49,2023,PHASEOUT,Iowa,2014,0,0,1,5,4,1,3,2.8
P50,2023,PHASEOUT,Iowa,2014,0,0,1,5,4,1,3,1.3
P51,2023,EXPANSION,Iowa,2019,0,0,1,1,3,3,3,1.4
P53,2023,ESTABLISHED,Iowa,2017,0,0,1,5,4,1,4,34.3
P56,2023,PHASEOUT,Iowa,2017,0,0,1,4,4,1,4,15.7
P57,2023,PHASEOUT,Iowa,2017,0,0,1,4,4,1,4,0.4
P61,2023,ESTABLISHED,Iowa,2018,0,0,1,4,2,2,4,2.4
P72,2023,INTRODUCTION,Iowa,2020,0,0,1,3,4,4,4,0.1
P81,2023,INTRODUCTION,Iowa,2020,0,0,0,3,4,3,4,1
P82,2023,INTRODUCTION,Iowa,2020,0,0,1,3,4,3,4,19.2
P85,2023,EXPANSION,Iowa,2019,0,0,1,2,5,4,4,0.3
P87,2023,INTRODUCTION,Iowa,2020,0,0,1,2,4,3,4,64.7
P90,2023,EXPANSION,Iowa,2017,0,0,1,3,5,4,4,1.3
P93,2023,INTRODUCTION,Iowa,2020,0,0,1,5,3,3,4,0.7
P104,2023,ESTABLISHED,Iowa,2018,0,0,1,2,4,2,4,12.7
P107,2023,ESTABLISHED,Iowa,2017,0,0,1,3,3,2,4,13.1
P110,2023,PHASEOUT,Iowa,2018,0,0,1,3,4,3,4,3.2
P118,2023,PHASEOUT,Iowa,2012,0,0,1,5,5,2,4,0.8
P123,2023,INTRODUCTION,Iowa,2020,0,0,0,3,4,1,4,2
P124,2023,EXPANSION,Iowa,2019,0,0,1,3,4,1,4,69.9
P125,2023,EXPANSION,Iowa,2019,0,0,1,3,4,1,4,49
P127,2023,PHASEOUT,Iowa,2013,0,0,1,2,3,3,4,4.7
P132,2023,EXPANSION,Iowa,2019,0,0,1,2,3,2,4,2.1
P134,2023,INTRODUCTION,Iowa,2020,0,0,1,2,2,3,4,6.2
P136,2023,ESTABLISHED,Iowa,2017,0,0,1,5,4,2,4,11.1
P141,2023,INTRODUCTION,Iowa,2020,0,0,1,2,4,3,4,0.1
